content,name
王律师说，既然天下霸唱已经将《鬼吹灯》著作权中的财产权全部转让了，天下霸唱就不应当因《鬼吹灯》作品再次获得额外利益。而他的新书《摸金校尉》沿用了《鬼吹灯》中的人物构架、盗墓规矩和禁忌。这些是《鬼吹灯》作品特有的，不应该在新书《摸金校尉》中出现。况且，《摸金校尉》出版发行后，在演绎市场也获得了巨额利益，这明显侵犯了他们的权益。他们专门在网络媒体上发表声明，主张权利。,鬼吹灯之牧野诡事
对玄霆公司的这一说法，天下霸唱经纪人王笑东坚决不认同，在他看来，天下霸唱是《鬼吹灯》系列作品的原创作者，理所应当拥有相关著作权权益。《摸金校尉》是作者新创作的作品，故事情节等要素与《鬼吹灯》完全不同，作者有使用原作人物名称、盗墓禁忌等再创作的自由。天下霸唱在其博客中也发表了一份声明，声称自己拥有《鬼吹灯》系列作品完整的著作人身权。,鬼吹灯之牧野诡事
一方是《鬼吹灯》系列作品的原创作者，另一方是购买了版权的权利人。现在，双方都认为自己主张的权利是合理的，也都发表了声明。他们究竟孰是孰非？要弄清楚这其中的缘由，还得从天下霸唱和上海玄庭公司之间的合作说起.,鬼吹灯之牧野诡事
天下霸唱最初踏上网络文学写作缘起于一次偶然的机会：2005年他喜欢上了一个女朋友，为了讨佳人欢心，证明自己的写故事能力，他就尝试着开始在网上写文章。,鬼吹灯之牧野诡事
这样越写越上瘾，到2005年12月的时候，《鬼吹灯》第一部完成了，开始在天涯网上发表。当时网络文学方兴未艾，天下霸唱以其超乎寻常的想象力，营造了神秘、魔幻的古墓探险世界、开盗墓文学先河，很快在天涯论坛上积攒了较高的人气。,鬼吹灯之牧野诡事
2005年的时候，起点中文网刚刚成立3年左右，是一家处于起步阶段的原创文学门户网站，上海玄霆公司是网站的运营商。他们发现《鬼吹灯》作品有一定市场价值，便主动联系上了天下霸唱，希望双方可以合作在他们的网站上连载《鬼吹灯》系列作品。,鬼吹灯之牧野诡事
当时，起点中文网主推网上付费阅读的模式，玄霆公司按照每一千字100元的标准付给天下霸唱稿酬，天下霸唱每天写3000字左右在起点中文网上发表，,鬼吹灯之牧野诡事
天下霸唱每日辛勤写作，玄霆公司负责在网站刊发推广，双方精诚合作度过了一段蜜月期。不久，《鬼吹灯》连续几个月高居网络小说搜索榜冠军，天下霸唱在网民“灯丝”中的知名度越来越高。此时，玄霆公司提出要先签订一纸合约，于是在2006年4月18日双方签署了文学作品独家授权协议。在协议中，规定了作者授权玄霆公司使用《鬼吹灯》系列作品的期限是7年，玄霆公司付给天下霸唱150万元。,鬼吹灯之牧野诡事
《鬼吹灯》第二部发表后，天下霸唱和玄霆公司继续之前的合作模式，不过，玄霆公司提出为保证合作的长期进行，还需要再补充签订一些协议。据天下霸唱回忆这是在《鬼吹灯》第一部前四本卖出影视改编权后，在一个庆功宴上草签的。,鬼吹灯之牧野诡事
这次双方签署的合约在确认原授权协议有效的前提下，将《鬼吹灯》系列作品著作财产权变为转让，也就是说转让是没有期限的，玄霆公司由此获得《鬼吹灯》系列作品完整的著作财产权。这也为双方日后的纠纷埋下了隐患。接下来的日子，双方又陆续签订了补充条款、确认书等，对这个转让协议进行了确认。天下霸唱的经纪人说，天下霸唱当时自己并不知道这次合同的修改，和自己签署的这一些列合同到底意味着什么。,鬼吹灯之牧野诡事
