content,keyword,time
从来没看过于正的任何剧，剧情真的挺弱智的，特效五毛。袁姗姗总是在大喊大叫 不好看。不过发现陈晓的古装倒是真好看,云巅之上2,2017-03-16
于正估计常混晋江吧，娱乐圈文的套路啊。不过唯一正常思维的角色居然是那个妈妈,云巅之上2,2017-03-02
喜欢看娱乐圈文的亲快看过来吧，还有的元素都有，还很现实！,云巅之上2,2017-02-27
一开始觉得袁姗姗这演得是啥？人设傻蠢的真尴尬，但后来发现她的剧中剧的角色演得真不错，剧中试镜和拍戏的演技绝对可以打85分，真是神奇了。PS：这部剧里陈晓真帅。,云巅之上2,2017-03-23
先说缺点：狗血，假，浮夸，造型杀马特，剧情跟过家家一样，女主三岁智商，一股子橙光游戏低龄玛丽苏画风；再说优点：陈晓帅，蒋梦婕气质不错，娱乐圈题材比较新颖，可以看得下去。,云巅之上2,2017-02-24
"冲着阿杰配音来的，没想到男主人设非常圈粉，加上陈晓演技非常自然，所以没觉得看不下去。iqiyi弹幕一直在刷33演技在线，真是不敢苟同。剧情俗套但是不会无聊，剧荒可以一看。
看完第二季我又回来改分数了，原因很简单，在剧情最重要最高潮的地方，陈晓仿佛消失了一样。心里很难过。",云巅之上2,2017-03-17
看到第九集，除了个别剧情略显浮夸，大部分还是比较现实的。于妈简直是用生命在黑自己的同行。对陈晓，袁姗姗路人转粉了。,云巅之上2,2017-03-20
有的台词写的挺现实，再也不是强行给女孩灌鸡汤，本来觉得还可以看看的，结果这设定和情节发展，欺负观众没看过《华丽的挑战》？打工小妹变演员，颜色鲜艳的公司制服，给综艺节目当吉祥物，还跟不近女色毒舌的一线男星感情发展，国外的作者告不过来你是不是？然而抄了，还把女主塑造得像没过去的假人。,云巅之上2,2017-03-06
第一季撸完，陈晓的角色不管是人设选角演绎都太好了，淹没在这么一部low剧里真是可惜max，多给他一颗星吧，哎。,云巅之上2,2017-03-05
服装造型 辣眼睛,云巅之上2,2017-03-19
经过1、2集铺垫后面就停不下来，熬夜一口气看完了，迷之好看，当然色调服化道一贯的差。。。优点就是节奏爽利，细节台词场景蛮戳心。第2季快出来，吊我胃口！没有注水 看起来痛快，所以适合消遣，是粉丝所以多打一星。,云巅之上2,2017-02-26
袁姗姗真不要和于妈混了好吗。原本是看了个袁姗姗演反派片段，对她有些改观，可是我激动的去看了正片之后……只能说还不错吧，但是看几集下来感觉满是尴尬，这种尴尬看《美人为馅》的时候也有过，结果一搜才知道果然是于妈剧。于妈剧总洋溢着这种不现实……还有就是广告植入飞起……,云巅之上2,2017-03-11
于妈的戏全是一个路数。,云巅之上2,2017-03-11
朋友说周末两天在家用流量看的，一口气看到流量用完才停下来，看了20集左右吧，用她的话来说能让我一口气看这么多的剧真的不多……,云巅之上2,2017-02-27
看多了都是套路  女主永远那么惨  看看打发时间还行,云巅之上2,2017-03-03
陈晓帅！,云巅之上2,2017-03-09
第一集看到女主和她的大明星母亲，就想起等你的星光这本小说，虽然故事不同，但这个题材还是可以的，可是袁姗姗和陈晓不太搭。,云巅之上2,2017-02-24
看了一半都在找郭晓东，原来变成了汪峰。陈晓人设和颜值都好棒，就是剧情太典型于妈了。为了陈晓加一星。,云巅之上2,2017-03-05
唯一的一星留给陈晓吧。,云巅之上2,2017-03-02
以前看过很多袁姗姗的剧，后来懂事儿了，就不怎么看了，无法直视袁姗姗跟于正,云巅之上2,2017-08-20
整部剧贯穿着肤浅的撕逼和算计，女主角的成功就像一个笑话，唯一得到救赎的居然是男主。,云巅之上2,2017-07-19
