content,keyword,time
被陈晓颜值圈粉 帅出天际线 第一季我给4星 第二季剧情着实脑残 33演技的确大有长进 网络暴力其实蛮可怕的 能迅速捧红一个人 也有可能一下子踩死有实力的小演员 简兮很固执 但是坚强的让人感动,云巅之上2,2017-04-06
给两星吧！剧情真小白。,云巅之上2,2017-05-13
还可以,云巅之上2,2017-05-07
"剧情看得我好尴尬,不求多么真实和犀利地还原娱乐圈生态,但至少不能忽悠观众智商吧…倒是有点对袁姗姗刮目相看了,演技很在线啊。",云巅之上2,2017-03-17
。。。。。。于正  袁姗姗？！,云巅之上2,2017-06-17
一集弃系列，主演我都不讨厌，这剧实在不好看。,云巅之上2,2017-03-04
别的不说陈晓好帅啊，古装现代都好帅,云巅之上2,2017-03-20
娱乐圈也是职场，于正输出的是一种职场价值观，三观挺正！,云巅之上2,2017-03-01
整部剧就陈晓的演技还好点,云巅之上2,2017-04-06
这剧挺好看的，对袁姗姗改观。,云巅之上2,2017-03-20
3星半，偶像剧中算可以看的,云巅之上2,2017-03-12
希望于正放过陈晓…,云巅之上2,2017-04-18
各种套路的剧情,云巅之上2,2017-03-26
看到第17集，忍不住要吐槽，难道编剧随便改剧本导演都没意见的吗?拍戏时怎么可能这么多戏连在一起演，演员表演时编剧和导演一直说话，但凡做过群演的都知道拍戏需要安静吧。说这剧揭露娱乐圈的现实，然而实际上是在洗白娱乐圈，娱乐圈有简兮这样的小白兔吗?你问问女主袁姗姗她是这样起来的吗?,云巅之上2,2017-06-25
前面还不错，后面越来越拖沓，几度想弃剧，还是看完了。戏中戏蛮有意思。关于爱情态度，关于工作态度，还有一些小套路。,云巅之上2,2017-06-19
